vin,make,model,year,color
JM1NC2EF4A0598388,Hyundai,Accent,2002,Mauv
3FAHP0DC4BR209530,Buick,Regal,1997,Fuscia
3N1AB6APXCL311040,Lotus,Esprit,1995,Puce
1G6DG1E38E0779213,Oldsmobile,Silhouette,2002,Teal
YV4902BZ7C1926289,Mazda,Mazda6,2003,Puce
KMHTC6AD3CU626207,Volkswagen,Eos,2008,Yellow
2G4GT5GC9B9281495,Ford,E-Series,1963,Yellow
3C4PDCAB8FT925562,Oldsmobile,Silhouette,2000,Fuscia
WAULK78K49A032475,Land Rover,Discovery,2005,Turquoise
19UYA42661A497867,Volkswagen,Jetta,2006,Green
1N6AA0EC3EN209776,Volkswagen,riolet,1993,Pink
19UUA65604A013220,Nissan,Maxima,2006,Pink
1C4RDJAG4CC936350,Toyota,Sienna,2007,Violet
3N1AB6APXAL521134,Smart,Fortwo,2008,Green
2FMGK5B83EB146710,Jaguar,XK Series,2001,Green
WAUHFAFL9CN680431,Chevrolet,S10,2002,Mauv
5N1AN0NU2AC644385,Plymouth,Horizon,1978,Purple
YV4902NB0F1399392,Chevrolet,Prizm,1998,Pink
TRUWT28N811965008,Hyundai,Santa Fe,2012,Yellow
KL4CJHSB2FB339342,Jeep,Wrangler,2004,Green
SCFFDABE1AG984363,GMC,Rally Wagon 3500,1994,Purple
1FTEW1C84FF224936,Jeep,Compass,2011,Teal
WAUKG74F86N949591,GMC,Acadia,2007,Purple
5J8TB4H58FL740788,Plymouth,Sundance,1992,Goldenrod
2C4RDGDG3CR740695,Chevrolet,Express 2500,2011,Red
5NPDH4AE5FH676273,Mazda,Familia,1990,Blue
WA1YD64B63N866034,Jeep,Grand Cherokee,1993,Khaki
JH4CL969X5C438172,Jaguar,XJ Series,1994,Green
WBAEV53473K169828,Pontiac,Grand Prix,1987,Blue
WAULT58E02A576196,Chrysler,Town & Country,1996,Turquoise
JN1AZ4EH9DM088421,Isuzu,Hombre Space,1997,Teal
YV4960BZ4A1279284,Ford,F250,2012,Teal
1G6KF54952U354706,Pontiac,Vibe,2009,Pink
1G4HJ5EM2AU750126,Audi,100,1990,Mauv
JN1BY0AR5AM408618,Infiniti,Q,1994,Khaki
2FMPK3J99FB280072,Land Rover,Discovery,2011,Khaki
YV4612HM6F1014379,Volkswagen,Passat,1998,Red
WBAPH57529N127058,Volkswagen,Golf,1984,Violet
JN8AS1MU5CM966184,Nissan,Stanza,1992,Maroon
5UXFG43519L803186,Chevrolet,1500,1994,Indigo
WBA3B9G5XFN366716,Mercedes-Benz,M-Class,2009,Mauv
SAJWA6FC4E8885311,Buick,Riviera,1997,Purple
1FTNS2EW2AD770927,Mitsubishi,Lancer,2008,Red
1N4AA5AP2EC731602,Chevrolet,G-Series 2500,1997,Pink
WBAAN37421N945808,Mercedes-Benz,E-Class,1992,Purple
JTHBL1EF3A5205897,Mazda,CX-9,2009,Fuscia
KNADH5A31A6797449,Subaru,Forester,2003,Indigo
WAULFAFR5CA125790,GMC,Yukon XL 2500,2010,Violet
1FTMF1EW2AK853859,Chevrolet,Silverado 1500,2011,Crimson
2C3CDXDT8EH679862,Mercedes-Benz,E-Class,1990,Crimson
1C6RD6HT6CS419614,Cadillac,Brougham,1992,Purple
WVWBB7AJ8DW223098,GMC,2500,1999,Crimson
SCBLF34F06C036082,Pontiac,Firebird,1994,Maroon
1G6KD54YX2U189152,Pontiac,Grand Prix,1965,Crimson
WAUHF98P97A139942,Chevrolet,TrailBlazer,2006,Goldenrod
3C3CFFCR1ET028476,Pontiac,Firebird,1999,Orange
TRUTC28N031786306,Mitsubishi,Eclipse,1992,Fuscia
1G4HR57Y78U514400,Volvo,S70,1998,Red
5N1AA0ND1EN989395,Mazda,RX-7,1985,Indigo
5N1AR2MM1EC814131,Volvo,V70,1998,Green
1G6DA8E53D0878905,Toyota,Camry Hybrid,2007,Fuscia
WBAYB6C54DC036606,Ford,Taurus,1993,Teal
WVWAA7AJ5CW248778,Suzuki,SJ 410,1984,Violet
WAUCFAFR3EA383986,Ford,Expedition,1997,Puce
3D73Y4EL0AG325850,Citroën,CX,1974,Red
3VW4T7ATXEM752378,Mercedes-Benz,G-Class,2004,Blue
SCBFH7ZA3FC619841,Toyota,Avalon,2001,Purple
WAUAF78E05A978718,Volvo,S80,2007,Pink
1FTSW2B58AE735113,Toyota,Camry,1994,Goldenrod
WBA3B1C5XFP062930,Ford,Econoline E350,1997,Goldenrod
2D4RN5DG6BR021184,Chevrolet,Express 3500,1997,Puce
1GYS4AEFXDR547448,Mazda,B-Series Plus,2000,Orange
19XFB2E55EE403569,Cadillac,Escalade,2002,Maroon
1FTEW1CM9EK821275,Mazda,B-Series,1997,Green
WBAYE8C58FD136479,Volkswagen,Corrado,1990,Puce
5N1AR1NB7AC144280,Audi,R8,2008,Fuscia
1N6AF0LY4EN366216,GMC,Safari,1992,Red
KNADH4A34B6991887,BMW,Z8,2001,Khaki
ZFF60FCA7A0593893,Chevrolet,Impala,2007,Orange
SALFR2BG8EH766243,Toyota,RAV4,2002,Aquamarine
1FTMF1E85AK201481,Cadillac,Seville,1995,Violet
SCFKDCEP6EG194750,Volvo,C70,2003,Puce
WVGAV3AXXDW128120,Ford,Fiesta,2001,Fuscia
1G6AB5S38D0968794,Buick,Enclave,2012,Turquoise
2C3CDXDT8EH411104,Dodge,Ram,2007,Pink
YV4902DZ1E2007107,Oldsmobile,88,1992,Khaki
1FTSW2B59AE204681,Pontiac,G6,2008,Maroon
JN1AZ4EH0DM833752,Ford,Tempo,1991,Goldenrod
JN8AS5MT1AW221416,Toyota,RAV4,2008,Teal
1C4NJCBA1FD810085,Mazda,MX-6,1996,Puce
1GD311CG6FF961583,Toyota,TundraMax,2012,Yellow
4JGDF2EE0FA546506,Chevrolet,G-Series G30,1994,Yellow
5UXFA13555L505797,Nissan,300ZX,1991,Maroon
19XFA1E84AE038044,Volvo,V50,2008,Blue
1GD120EG2BF897497,Dodge,Durango,2011,Khaki
WAUDL94F55N388068,Ford,LTD,1984,Maroon
5XYKT3A17CG519733,Kia,Sedona,2005,Blue
JTHFE2C25B2295364,Audi,80,1992,Puce
1G6AS5SX0E0119621,Alfa Romeo,164,1994,Crimson
JTHBE1KS9B0602251,Chrysler,Town & Country,1992,Purple
JH4DC44611S304800,Kia,Sephia,1995,Purple
WBAFR9C52CD447841,Ford,F250,1993,Puce
WAUDF98E25A224647,Mitsubishi,Montero Sport,2002,Indigo
1GT01ZCG8EF184876,Chevrolet,Silverado 1500,2004,Khaki
SCBLE47K79C913902,Porsche,928,1988,Violet
3LNHL2GC4CR075760,Aston Martin,DBS,2012,Pink
SCFEFBBC4AG350779,Volkswagen,Passat,2002,Blue
1N4AA5AP1EC894628,Chevrolet,Silverado 3500,2010,Puce
3GYFNFE37CS165150,Lotus,Esprit,1986,Turquoise
2HNYD28648H405209,Dodge,Caravan,2001,Indigo
WP0CB2A83CS375509,Lexus,ES,2007,Violet
WAUEH94F26N245649,Dodge,D150 Club,1992,Goldenrod
1G4GA5ER7CF751688,Nissan,Xterra,2011,Teal
5GAKRAED6CJ604846,Volvo,S40,2002,Teal
3VW517ATXEM264753,Lexus,GS,1995,Crimson
SCBLC47JX8C579683,Honda,Prelude,1995,Khaki
1FTKR1AD0AP409059,Audi,TT,2012,Purple
2C4RDGDG3CR322606,Porsche,928,1987,Red
WA1VMAFE7CD494285,Mercedes-Benz,Sprinter,2010,Maroon
1HGCR6F56EA833698,Toyota,Corolla,2006,Aquamarine
3D7TT2CT4BG234734,Honda,Accord,1991,Aquamarine
3GYFNAE37DS876058,Plymouth,Laser,1989,Teal
1G4HE57Y36U277686,Ford,F-Series,1993,Teal
WVGAV7AX2BW835295,Mitsubishi,Challenger,1999,Fuscia
WBAVM5C52DV810749,Subaru,Impreza,2012,Khaki
SAJWA0HP3EM923258,Lotus,Esprit,1998,Turquoise
WBAPK5C59BF239010,Suzuki,Swift,1998,Crimson
1G6AC1R32F0348666,Lincoln,Blackwood,2003,Puce
SALFR2BN8AH062908,Saab,9-5,1999,Aquamarine
JTHFF2C23E2549350,Mercury,Sable,2008,Mauv
JN1AZ4EH6FM010603,Isuzu,Trooper,1998,Red
1D7CW2BK7AS521783,Lexus,GS,1998,Purple
1D7RV1CP5AS843470,Mercury,Lynx,1985,Green
3GYFNGE34FS924301,Infiniti,QX,2007,Violet
5UXFA935X6L458055,Pontiac,LeMans,1965,Teal
WBSBL93462J617556,Plymouth,Breeze,1999,Purple
3C6JD6EP9CG807819,Toyota,Corolla,2007,Green
2HNYD28738H797771,Mercedes-Benz,C-Class,2007,Blue
WBANU53598B851872,Ford,Tempo,1985,Orange
WAUAF78E38A821740,Pontiac,Grand Am,1987,Orange
1C4AJWAG7CL856107,Acura,ZDX,2011,Fuscia
1GD01ZCG3BF191533,Ford,Taurus,2004,Purple
1G6DW677060587396,GMC,Yukon,2006,Green
3VW517AT0FM218236,Pontiac,Vibe,2008,Teal
SAJWA4GB4EL504418,BMW,Z3,1996,Maroon
2T1BURHE0FC201459,Isuzu,Rodeo,2003,Crimson
JN8AF5MRXCT009353,Cadillac,Seville,1993,Khaki
5NPDH4AE2BH157191,Acura,RL,2011,Indigo
WAUA2AFD1DN748194,Chrysler,Crossfire,2004,Goldenrod
3C3CFFFH2ET506486,Lexus,ES,1999,Orange
1YVHZ8BHXA5482825,Mazda,MX-5,2009,Indigo
1N6BF0KX9FN900003,Ford,Tempo,1993,Maroon
SAJWA0EX7E8610274,Ford,Ranger,1986,Crimson
1G6DS57V680261805,Subaru,Brat,1987,Puce
KNALN4D79E5686608,Ford,F-Series Super Duty,2009,Aquamarine
WBA5M6C5XED442494,Chevrolet,Caprice Classic,1993,Khaki
WAUGFBFC9EN903720,Jaguar,X-Type,2002,Fuscia
JH4DC43631S153539,Dodge,Ram Van B150,1993,Pink
WAUEH98E46A781835,Dodge,Ram Van 1500,2002,Violet
3C63DRBL7CG233815,Pontiac,Grand Prix,2004,Blue
SAJWA1C7XD8811335,Oldsmobile,88,1998,Mauv
2C3CDYBT0CH917841,GMC,Savana 2500,2001,Mauv
JN1BJ0HP1DM093460,Lincoln,Town Car,2005,Green
WA1LGBFE5ED752293,Hyundai,Santa Fe,2005,Red
WAUAFAFL8AN939330,Ford,Thunderbird,1994,Violet
WAUAFAFLXCN394380,Ford,Mustang,1969,Mauv
WAULD54B64N133846,Land Rover,Range Rover,1995,Teal
SCFBB04BX8G267603,Kia,Spectra,2003,Goldenrod
3N1AB6AP6AL752788,Suzuki,Sidekick,1994,Crimson
JTHBE1BL8F1647318,GMC,Sierra 3500,2000,Purple
WBAKG7C56CE824139,Toyota,Celica,1992,Yellow
WBXPC93567W930822,GMC,Sonoma Club Coupe,1993,Orange
5GAKVDED1CJ596636,Acura,MDX,2001,Turquoise
1GYFK46818R373753,Mercedes-Benz,400E,1992,Maroon
2G4WC552561460627,Chrysler,Sebring,2010,Maroon
5N1AA0NC3FN273297,Pontiac,Bonneville,2002,Aquamarine
WBALL5C58CE596567,Pontiac,GTO,1972,Aquamarine
JN1CV6FE4DM052267,Ford,F-Series,1985,Indigo
1FAHP3FN1AW738431,Chevrolet,Corvette,1989,Yellow
JH4KA96551C151895,Volvo,V90,1997,Khaki
4A4AP3AU5FE421204,Chevrolet,LUV,1979,Red
WBA3B3C59EF326624,Subaru,Impreza,2004,Puce
3C4PDCDG7FT709774,Mercedes-Benz,CLK-Class,2001,Violet
JTEBU5JRXF5122119,Chevrolet,Tracker,1999,Fuscia
4USBU335X8L419533,Mitsubishi,Challenger,1997,Indigo
5J6TF3H30CL645739,Nissan,Quest,1996,Indigo
1D7RB1CT0BS705794,Ford,F250,1994,Purple
WBAVC735X8A786714,Suzuki,SJ,1988,Turquoise
1N6AF0LY9FN067046,Hyundai,XG350,2005,Blue
1G6DS5E30D0952257,Nissan,350Z,2004,Aquamarine
1G4GE5G32EF708439,Volkswagen,Passat,2005,Mauv
5FRYD4H22GB723167,Lincoln,Mark VII,1984,Pink
KMHGH4JH7CU079176,Isuzu,Oasis,1998,Maroon
1N6AD0CU5AC080352,Hummer,H1,2001,Mauv
1G6DP1E36C0066033,Audi,TT,2012,Turquoise
WAUHE78P19A135894,Toyota,Sequoia,2007,Teal
19UUA8F25BA967210,Dodge,Grand Caravan,1995,Teal
WAULT64B72N177425,Nissan,Sentra,2005,Mauv
YV126MFB4F2534648,Chevrolet,Impala,1994,Green
1G6DG8E30E0341181,Pontiac,Firebird,2001,Indigo
1G6DL8ED8B0965410,Mercury,Capri,1994,Red
3GYT4LEF8DG036482,Buick,Electra,1988,Turquoise
WAUGVAFR5AA045424,Lincoln,MKX,2012,Violet
4USDU53577L214920,Subaru,XT,1987,Khaki
WBAWV13557P001233,Mercedes-Benz,M-Class,2008,Orange
WAULD64B24N858480,Honda,Pilot,2008,Turquoise
WAUHF98P89A407902,Saturn,Astra,2008,Yellow
KL4CJGSB7EB471845,Chevrolet,Suburban 1500,1998,Mauv
WBAYB6C52ED906851,Honda,CR-V,1998,Orange
SCBCP73W38C910692,Infiniti,EX,2011,Blue
1G6DG5EY3B0343268,Volvo,S80,2004,Yellow
1HGCP2F36CA210527,Volkswagen,Passat,2009,Violet
JTDKN3DU4A0291404,GMC,Sierra 2500,2003,Green
WAUMR94E68N086900,Toyota,Tacoma,2012,Yellow
1G6DL8E34D0322269,Volvo,850,1997,Crimson
1G4HP54K54U873499,Audi,A8,2010,Khaki
JH4DC54824S787483,Chevrolet,Monte Carlo,1997,Puce
1FTMF1CW0AF104246,Porsche,Cayman,2008,Khaki
KMHGH4JH8FU183227,Mitsubishi,Montero Sport,2003,Goldenrod
WBASN2C57DC284029,Dodge,Ram Van 3500,1996,Purple
1GYS3AEF0CR416899,Lincoln,Navigator,2009,Goldenrod
1FMJK1H50DE480255,Eagle,Summit,1992,Blue
SCFFDAAM4DG224442,Kia,Spectra,2002,Mauv
SAJWA1CB1BL337192,Bentley,Continental Flying Spur,2008,Orange
1FMCU5K30AK643145,Mitsubishi,Galant,1997,Orange
KM8JT3AB8CU782201,Ford,Probe,1990,Indigo
WAUCFAFH0CN763350,Chevrolet,Monte Carlo,2006,Crimson
5N1AR1NB6AC587780,Ford,Ranger,2002,Mauv
WBA5M0C57ED732365,Land Rover,Range Rover,1987,Blue
WVGEF9BP9ED644627,Ford,Econoline E350,1996,Aquamarine
WBA3T3C54FP761396,GMC,Yukon,2006,Crimson
WBAVB33506P509916,Dodge,Caravan,1999,Puce
1GYS3JEF1DR340644,BMW,M6,2009,Teal
3D7TP2CT9BG470543,GMC,Yukon XL 2500,2002,Aquamarine
WA1WYBFE7AD929219,Aston Martin,DB9,2007,Red
JTDKN3DU2F0416049,Acura,TL,2005,Khaki
JHMFA3F2XBS334771,Ford,Five Hundred,2005,Yellow
SALGS2EF3EA647875,Dodge,Ram Van 1500,1996,Green
WBAVM5C57DV073001,Oldsmobile,LSS,1997,Purple
JTHKD5BH0F2979026,Hyundai,Accent,2006,Yellow
WAUPEAFM4DA963691,Jeep,Grand Cherokee,1996,Puce
WAUEH78E56A692506,Mercedes-Benz,CLS-Class,2010,Maroon
WA1EV94L57D901801,Buick,Riviera,1986,Green
3LN6L2LUXFR842943,Suzuki,Grand Vitara,2006,Aquamarine
1FTWF3B55AE661995,Nissan,Altima,2013,Goldenrod
WAUXG74F49N191615,Hyundai,Azera,2006,Turquoise
2T3BFREV2DW980574,BMW,M,2002,Mauv
1G4CW54K534007300,Toyota,Celica,2001,Khaki
WAUSFBFL6AA456453,Chevrolet,Metro,2000,Crimson
KNAGM4A74B5797233,Buick,Regal,1997,Aquamarine
WA1WYBFE6AD535002,Chevrolet,Monte Carlo,1997,Orange
1FMCU0C78AK458460,Mercedes-Benz,CL-Class,2009,Goldenrod
WBAKC8C56AC331149,Porsche,Boxster,2002,Violet
YV1672MC8CJ675786,Cadillac,Escalade,2009,Goldenrod
2CTALMEC5B6068878,BMW,745,2003,Puce
4A31K5DF9BE694300,Nissan,Pathfinder,2012,Purple
YV1982BW7A1912708,Dodge,Viper,1999,Orange
3D7TP2CT2BG391683,Nissan,Maxima,2010,Orange
JHMZE2H3XCS223429,Chevrolet,Camaro,1993,Mauv
JM1CW2BL2C0020429,Dodge,Dakota,1997,Goldenrod
WBAYE0C56DD147558,Hyundai,Accent,2003,Purple
5UXZV4C50BL824376,Ford,F250,2009,Yellow
JH4CU2E64BC982304,Cadillac,Seville,1997,Goldenrod
KMHTC6AD6FU023420,Suzuki,Sidekick,1993,Maroon
1D7CW7GP7AS780601,Chrysler,LeBaron,1992,Crimson
1G4GA5ERXDF704978,Audi,A6,1999,Puce
JN1CV6AP7BM503018,Lamborghini,Gallardo,2011,Purple
JTHFE2C22E2777021,Chevrolet,APV,1993,Green
4F2CY0C76AK448974,Honda,Pilot,2011,Red
KMHEC4A46BA719042,Kia,Sedona,2011,Indigo
WAU3FAFR5CA199999,Suzuki,SX4,2010,Indigo
1GYEK63N32R323378,Ford,Freestar,2005,Teal
WAUAF78E68A667038,Plymouth,Neon,1999,Green
WP1AB2A22FL809478,Chevrolet,Sportvan G30,1995,Khaki
WAUEG78E56A110052,Mitsubishi,Montero,2004,Red
5NPEB4AC8DH348220,Mitsubishi,Lancer,2009,Crimson
4T1BK3DB5AU466741,Volvo,C70,2003,Yellow
JH4DC53813S952293,Volvo,S40,2002,Green
1VWAH7A37EC124686,Nissan,Sentra,2003,Purple
WA1DGBFE0ED107586,Buick,LeSabre,1997,Fuscia
WAUVT68E33A959274,Chevrolet,Corvette,1970,Goldenrod
SCFAB01E59G180493,Scion,xB,2006,Teal
WBAEB5C58AC936563,Dodge,Ram Van 3500,1997,Violet
2T1BU4EE9CC433772,Isuzu,Rodeo Sport,2003,Mauv
JH4DC23911S221514,Toyota,Corolla,2004,Aquamarine
1N6AD0CWXEN517337,Mercury,Tracer,1989,Turquoise
YV126MFD1F1064652,Nissan,Titan,2011,Yellow
SAJWJ1CD0F8887395,GMC,Yukon Denali,2006,Violet
1C4RDJEG2DC896443,Chevrolet,Corvette,1956,Mauv
1C6RD6HT1CS223080,Jeep,Patriot,2011,Puce
WBAKP9C56FD589327,Volvo,S60,2008,Puce
WAUVC68E42A872594,Ford,Explorer,1992,Orange
1N6AA0CJ0FN113378,Ford,E150,2010,Maroon
1GT010CGXCF600032,Hummer,H1,2001,Teal
5J8TB4H37EL912404,Chevrolet,Blazer,2003,Indigo
5FRYD4H95GB822482,Toyota,FJ Cruiser,2011,Teal
WAUKF68E85A096078,Suzuki,Reno,2005,Indigo
5N1AA0NC3DN632256,Mercury,Lynx,1985,Pink
1GYFK43559R212673,BMW,530,2004,Pink
WDDHF0EB3EA044772,Toyota,T100 Xtra,1996,Purple
WBA5B3C57FD290177,Lamborghini,Gallardo,2009,Yellow
1G6DK8E32C0556444,Pontiac,Tempest,1966,Green
JTHBK1GG2F2163661,Honda,S2000,2007,Purple
1G6KE57Y35U187479,Isuzu,VehiCROSS,2001,Fuscia
3C63D2JL1CG378986,Cadillac,XLR-V,2008,Red
1HGCR2F39EA698448,Mercedes-Benz,SLK55 AMG,2009,Violet
5GADV23L76D634834,Hyundai,Tucson,2010,Goldenrod
1GD01ZCG8EF077208,Jaguar,X-Type,2004,Purple
WAU32AFD3FN803031,BMW,8 Series,1997,Yellow
WAULC58E95A841931,Ford,Explorer,1998,Khaki
WAUFFBFL6BA073972,Mitsubishi,Chariot,1985,Teal
1GTN1TEX6CZ041257,Toyota,Prius,2005,Pink
1G6AE5SX5E0809114,Volkswagen,Scirocco,1987,Teal
WBALX3C56CD797110,Mazda,B-Series,2005,Turquoise
WBA1J7C52EV337598,Dodge,Ram 1500,2006,Indigo
19XFB4F27DE209690,Toyota,Tundra,2009,Yellow
WBANV9C51AC921742,Buick,LaCrosse,2005,Teal
W04GS5EC8B1387509,Nissan,Pathfinder,2011,Pink
WA1WKAFP6BA552950,Ford,Bronco,1985,Teal
TRUXD38J591984812,Buick,Riviera,1997,Goldenrod
5UMCL93482L860801,Honda,Insight,2002,Mauv
WBAKF5C57DE014446,Mitsubishi,Chariot,1989,Goldenrod
WDDJK7DA0DF987959,Infiniti,M,2010,Purple
WVGAV7AX1CW702044,Toyota,4Runner,1994,Goldenrod
1GYS4CEF4DR078370,Mazda,Miata MX-5,1994,Pink
JTHBE5C22C5005677,Acura,TL,2002,Green
SALAB2V67FA715330,Dodge,Dakota,1994,Red
SALGR2VF7FA266589,Mazda,Protege,2002,Yellow
KNADM5A35D6908200,Acura,RSX,2002,Orange
1FTSS3EL6AD066924,Mazda,Millenia,1996,Fuscia
WBA3C1C56FP271532,Kia,Sorento,2011,Yellow
WBADT53441C116044,Ford,E-Series,1995,Blue
SALVN2BG1FH830616,Volkswagen,Corrado,1992,Red
3GYFNKE49AS216050,Toyota,Corolla,1994,Blue
2C4RDGBG6FR326379,Dodge,Durango,2002,Red
1C6RD7HT2CS320892,Suzuki,Swift,1997,Violet
WAUMGAFL8EA928819,Mercedes-Benz,E-Class,2003,Blue
WA1VMBFE5ED366250,Smart,Fortwo,2010,Blue
1NXBE4EE6AZ221100,Infiniti,G,2003,Pink
1FTNF1E83AK647200,Pontiac,G8,2008,Purple
WAUDF98E55A427791,Infiniti,M,2009,Khaki
WAULC68E32A328322,Maserati,Spyder,1991,Violet
SCFAB02A76G411434,Ford,Mustang,1980,Puce
JN1AZ4EH7AM113330,Buick,Riviera,1989,Orange
5UXFB53534L364862,Suzuki,Sidekick,1995,Blue
WAUDG78E36A957535,Ford,Explorer,1998,Blue
1FTNS2EW9AD315069,Jaguar,XJ Series,1993,Crimson
1G4CW54K924036393,Honda,Pilot,2002,Blue
WBADX7C51DE234540,Pontiac,LeMans,1989,Aquamarine
WAULF98K89N529683,Saturn,Ion,2005,Blue
KNADH4A37A6421378,Ford,Econoline E350,2002,Indigo
5UXFG8C5XBL962303,Suzuki,Sidekick,1993,Indigo
1YVHZ8BH6A5963994,Dodge,Ram 3500,2004,Pink
KM8JT3AB5DU832554,Volkswagen,Cabriolet,1995,Green
WBAPM73549A177366,Honda,Prelude,2000,Yellow
2G4GN5EC3B9733728,Buick,Rainier,2006,Yellow
WBAHL035X6D144915,Lexus,LS,2003,Puce
JTEBC3EH2C2840611,Hyundai,Tucson,2008,Teal
1FTEX1CW9AF745378,Audi,90,1994,Orange
WBALW7C51CC274304,Chevrolet,Caprice,1992,Goldenrod
1GD12ZCG3CF960115,Nissan,Pathfinder,1994,Purple
1ZVBP8AM4C5064096,Land Rover,Discovery,1999,Aquamarine
WA1WYBFE4AD675128,Dodge,Caravan,1992,Violet
YV4952CT3C1557085,Mazda,626,1985,Fuscia
WBAGH03481D709711,Chevrolet,Venture,1998,Yellow
1J4RG4GK6AC218844,Dodge,Ram Van 3500,1997,Khaki
1GD02ZCG0DF832895,Hyundai,Tucson,2008,Purple
WBAKA83559C812138,Ford,F-Series,1997,Mauv
1N4AA5APXEC189746,Mercedes-Benz,S-Class,2012,Goldenrod
1G6DX67D560730930,Hummer,H2 SUT,2006,Fuscia
KNAFK4A65E5796721,Infiniti,G35,2006,Indigo
WBA3A9G54CN572368,Dodge,Viper,2002,Mauv
3VW4T7AT0EM453658,Cadillac,Eldorado,1996,Goldenrod
1D7RB1CT4BS237942,Ford,EXP,1987,Fuscia
1G6KS54Y11U957413,Ford,Explorer,1999,Aquamarine
WBAKP9C51ED676485,Nissan,Quest,2008,Fuscia
JN8AZ2KR9CT840612,Kia,Spectra5,2006,Crimson
3C6JD6EPXCG405565,Chevrolet,Caprice,1996,Violet
WAUHFBFL3CN962909,Audi,Quattro,1994,Yellow
WA1WMAFEXDD706067,Dodge,Ram 2500,2006,Crimson
JH4DC53036S479964,BMW,7 Series,1993,Orange
1FTMF1E80AF507612,Dodge,Viper,2008,Teal
2C3CCAGG2DH088536,Ford,F350,1993,Red
2G4WD552171611591,Porsche,911,2001,Violet
2C3CDXBG9EH848289,Jaguar,XJ Series,2002,Crimson
JM1NC2NF9E0195674,Toyota,Solara,2006,Fuscia
WDDEJ7EB7DA795138,Mazda,626,1983,Aquamarine
3FAHP0CG6AR100103,Mercedes-Benz,E-Class,1989,Blue
WAUBT48H15K295717,Dodge,Ram 3500,1998,Teal
WAUDF78E85A917906,Audi,A6,1997,Indigo
5TFAW5F19FX591896,Porsche,928,1985,Maroon
2T1BU4EE0BC748894,Ford,Escape,2013,Khaki
1FTNF2B54AE166631,Hyundai,Tiburon,2003,Fuscia
JA32X8HW9CU550448,Honda,Civic,2003,Khaki
5UMDU93587L618589,Acura,Integra,1988,Goldenrod
SAJWA1CZ9E8515693,Ford,Taurus,1999,Purple
JN8AS5MTXBW054815,Hyundai,XG350,2004,Purple
WBS3R9C58FK982512,Honda,Civic,1990,Yellow
